date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:05:36	56173/56173	---MCZ	200	added ('OK')	text/html	etag:%22d3b190c54478215ac246c6ec89d79cbd-ssl-df%22	https://ceramax.netlify.app/dashboard/charts-sparkline-bar.html	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/dashboard/charts-sparkline-bar.html	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:05:37	55090/55090	---MCZ	200	added ('OK')	text/html	etag:%221ba363a526d9ad5bf5dae548df3ffbc1-ssl-df%22	https://ceramax.netlify.app/dashboard/charts-sparkline-composite.html	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/dashboard/charts-sparkline-composite.html	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:05:38	61440/61440	---MCZ	200	added ('OK')	text/html	etag:%22f70de8c0539e7c9a802f4dced3e64d80-ssl-df%22	https://ceramax.netlify.app/dashboard/ui-timeline-centered.html	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/dashboard/ui-timeline-centered.html	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:05:38	59018/59018	---MCZ	200	added ('OK')	text/html	etag:%227d6c0012990a5c3c8ab1d5cd60efa859-ssl-df%22	https://ceramax.netlify.app/dashboard/ui-timeline-left.html	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/dashboard/ui-timeline-left.html	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:05:39	58850/58850	---MCZ	200	added ('OK')	text/html	etag:%22bcf175965abd57212bbf1a7d5e6b6dea-ssl-df%22	https://ceramax.netlify.app/dashboard/ui-pricing-expanded.html	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/dashboard/ui-pricing-expanded.html	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:05:40	59821/59821	---MCZ	200	added ('OK')	text/html	etag:%227d37d5f6ecc6a85cd30a588194cb015f-ssl-df%22	https://ceramax.netlify.app/dashboard/ui-pricing-narrow.html	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/dashboard/ui-pricing-narrow.html	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:05:41	60654/60654	---MCZ	200	added ('OK')	text/html	etag:%220976bfcc84a1e2e708128e266a00b3a0-ssl-df%22	https://ceramax.netlify.app/dashboard/ui-icons.html	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/dashboard/ui-icons.html	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:05:42	210409/210409	---MCZ	200	added ('OK')	text/html	etag:%22892a07cc863a0866485cd74118e693d8-ssl-df%22	https://ceramax.netlify.app/dashboard/ui-fontawesome.html	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/dashboard/ui-fontawesome.html	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:05:44	127117/127117	---MCZ	200	added ('OK')	text/html	etag:%2266241d65d0b8bc972bfd677bfe6e1c6c-ssl-df%22	https://ceramax.netlify.app/dashboard/ui-glyphicons.html	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/dashboard/ui-glyphicons.html	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:05:45	70335/70335	---MCZ	200	added ('OK')	text/html	etag:%223b0b7e98ca1fea412ddc7859c242cd41-ssl-df%22	https://ceramax.netlify.app/dashboard/form-elements.html	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/dashboard/form-elements.html	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
